 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
471,Step2 test1 3.2x0.63x-1.avi:2.24 s,176,704.102,1488.75,704.102,1488.75,18.362,12.204,19.169,0.866,56,1.505,0.665,0.926
472,Step2 test1 3.2x0.63x-1.avi:2.24 s,184,769.614,1690.63,769.614,1690.63,18.116,12.932,8.93,0.894,56,1.401,0.714,0.927
473,Step2 test1 3.2x0.63x-1.avi:2.24 s,205,738.939,1732.715,738.939,1732.715,21.005,12.426,3.594,0.83,56,1.69,0.592,0.919
474,Step2 test1 3.2x0.63x-1.avi:2.24 s,216,496.819,1768.375,496.819,1768.375,20.927,13.142,36.706,0.825,56,1.592,0.628,0.908
475,Step2 test1 3.2x0.63x-1.avi:2.24 s,119,1133.853,1794.315,1133.853,1794.315,15.64,9.688,128.763,0.774,56,1.614,0.619,0.878
476,Step2 test1 3.2x0.63x-1.avi:2.28 s,143,1145.871,769.528,1145.871,769.528,14.256,12.772,134.006,0.952,57,1.116,0.896,0.935
477,Step2 test1 3.2x0.63x-1.avi:2.28 s,126,1386.881,778.651,1386.881,778.651,16.079,9.977,130.643,0.886,57,1.612,0.621,0.91
478,Step2 test1 3.2x0.63x-1.avi:2.28 s,120,1067.575,885.975,1067.575,885.975,14.849,10.29,1.531,0.888,57,1.443,0.693,0.913
479,Step2 test1 3.2x0.63x-1.avi:2.28 s,124,1719.734,1211.008,1719.734,1211.008,15.922,9.916,141.386,0.862,57,1.606,0.623,0.899
480,Step2 test1 3.2x0.63x-1.avi:2.28 s,135,1512.537,1449.396,1512.537,1449.396,16.028,10.724,46.789,0.856,57,1.495,0.669,0.906
481,Step2 test1 3.2x0.63x-1.avi:2.28 s,164,700.421,1491.89,700.421,1491.89,17.174,12.159,26.97,0.906,57,1.412,0.708,0.916
482,Step2 test1 3.2x0.63x-1.avi:2.28 s,189,766.225,1690.966,766.225,1690.966,18.725,12.851,179.554,0.889,57,1.457,0.686,0.929
483,Step2 test1 3.2x0.63x-1.avi:2.28 s,210,745.595,1733.148,745.595,1733.148,20.724,12.902,1.955,0.826,57,1.606,0.623,0.905
484,Step2 test1 3.2x0.63x-1.avi:2.28 s,216,492.431,1772.486,492.431,1772.486,20.971,13.115,32.663,0.802,57,1.599,0.625,0.908
485,Step2 test1 3.2x0.63x-1.avi:2.28 s,119,1137.475,1799.055,1137.475,1799.055,15.639,9.688,122.261,0.836,57,1.614,0.619,0.895
486,Step2 test1 3.2x0.63x-1.avi:2.32 s,144,1147.444,769.444,1147.444,769.444,13.79,13.296,134.982,0.969,58,1.037,0.964,0.95
487,Step2 test1 3.2x0.63x-1.avi:2.32 s,127,1388.248,781.587,1388.248,781.587,15.963,10.13,127.651,0.868,58,1.576,0.635,0.894
