 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
562,Step2 test1 3.2x0.63x-1.avi:2.60 s,134,1159.157,1835.91,1159.157,1835.91,15.817,10.786,123.942,0.849,65,1.466,0.682,0.902
563,Step2 test1 3.2x0.63x-1.avi:2.64 s,158,1165.544,779.424,1165.544,779.424,15.608,12.889,126.343,0.927,66,1.211,0.826,0.919
564,Step2 test1 3.2x0.63x-1.avi:2.64 s,118,1410.525,795.746,1410.525,795.746,15.592,9.636,158.722,0.829,66,1.618,0.618,0.901
565,Step2 test1 3.2x0.63x-1.avi:2.64 s,123,1117.085,889.907,1117.085,889.907,15.792,9.917,160.683,0.899,66,1.592,0.628,0.921
566,Step2 test1 3.2x0.63x-1.avi:2.64 s,121,1681.574,1176.244,1681.574,1176.244,16.478,9.35,140.632,0.755,66,1.762,0.567,0.861
567,Step2 test1 3.2x0.63x-1.avi:2.64 s,122,1476.664,1469.934,1476.664,1469.934,15.3,10.153,27.034,0.825,66,1.507,0.664,0.891
568,Step2 test1 3.2x0.63x-1.avi:2.64 s,191,670.542,1537.736,670.542,1537.736,18.45,13.181,57.545,0.835,66,1.4,0.714,0.903
569,Step2 test1 3.2x0.63x-1.avi:2.64 s,153,766.487,1678.127,766.487,1678.127,14.435,13.495,2.886,0.921,66,1.07,0.935,0.903
570,Step2 test1 3.2x0.63x-1.avi:2.64 s,227,450.773,1811.381,450.773,1811.381,22.177,13.033,50.689,0.836,66,1.702,0.588,0.915
571,Step2 test1 3.2x0.63x-1.avi:2.64 s,134,1160.507,1841.351,1160.507,1841.351,16.206,10.528,120.324,0.882,66,1.539,0.65,0.902
572,Step2 test1 3.2x0.63x-1.avi:2.68 s,163,1167.273,781.997,1167.273,781.997,16.588,12.511,130.861,0.879,67,1.326,0.754,0.929
573,Step2 test1 3.2x0.63x-1.avi:2.68 s,109,1413.289,796.573,1413.289,796.573,15.876,8.742,169.884,0.737,67,1.816,0.551,0.879
574,Step2 test1 3.2x0.63x-1.avi:2.68 s,117,1122.346,890.927,1122.346,890.927,15.706,9.485,160.383,0.866,67,1.656,0.604,0.925
575,Step2 test1 3.2x0.63x-1.avi:2.68 s,129,1677.244,1172.43,1677.244,1172.43,16.683,9.845,144.811,0.749,67,1.695,0.59,0.838
576,Step2 test1 3.2x0.63x-1.avi:2.68 s,121,1472.773,1472.921,1472.773,1472.921,14.906,10.336,27.869,0.841,67,1.442,0.693,0.893
577,Step2 test1 3.2x0.63x-1.avi:2.68 s,183,666.833,1543.68,666.833,1543.68,17.7,13.164,60.682,0.852,67,1.345,0.744,0.915
578,Step2 test1 3.2x0.63x-1.avi:2.68 s,153,767.958,1679.121,767.958,1679.121,14.904,13.071,149.394,0.921,67,1.14,0.877,0.924
579,Step2 test1 3.2x0.63x-1.avi:2.68 s,232,446.53,1816.272,446.53,1816.272,22.319,13.235,50.907,0.814,67,1.686,0.593,0.91
580,Step2 test1 3.2x0.63x-1.avi:2.68 s,135,1161.974,1846.707,1161.974,1846.707,16.004,10.741,120.051,0.923,67,1.49,0.671,0.928
581,Step2 test1 3.2x0.63x-1.avi:2.72 s,156,1168.237,783.712,1168.237,783.712,17.038,11.658,133.762,0.862,68,1.461,0.684,0.904
582,Step2 test1 3.2x0.63x-1.avi:2.72 s,113,1413.863,796.146,1413.863,796.146,15.833,9.087,179.032,0.85,68,1.742,0.574,0.89
583,Step2 test1 3.2x0.63x-1.avi:2.72 s,119,1127.5,892.349,1127.5,892.349,15.817,9.579,157.004,0.87,68,1.651,0.606,0.908
584,Step2 test1 3.2x0.63x-1.avi:2.72 s,138,1673.051,1169,1673.051,1169,16.972,10.353,139.008,0.83,68,1.639,0.61,0.899
585,Step2 test1 3.2x0.63x-1.avi:2.72 s,129,1469.174,1476.329,1469.174,1476.329,15.412,10.657,28.52,0.882,68,1.446,0.692,0.905
586,Step2 test1 3.2x0.63x-1.avi:2.72 s,189,663.082,1549.071,663.082,1549.071,18.216,13.211,53.733,0.853,68,1.379,0.725,0.909
587,Step2 test1 3.2x0.63x-1.avi:2.72 s,163,768.537,1681.101,768.537,1681.101,15.592,13.31,108.226,0.932,68,1.171,0.854,0.926
588,Step2 test1 3.2x0.63x-1.avi:2.72 s,230,442.652,1821.496,442.652,1821.496,22.306,13.128,54.135,0.798,68,1.699,0.589,0.913
589,Step2 test1 3.2x0.63x-1.avi:2.72 s,138,1163.377,1852.681,1163.377,1852.681,16.302,10.778,119.272,0.83,68,1.513,0.661,0.893
590,Step2 test1 3.2x0.63x-1.avi:2.76 s,156,1168.218,782.833,1168.218,782.833,16.209,12.254,134.405,0.883,69,1.323,0.756,0.92
591,Step2 test1 3.2x0.63x-1.avi:2.76 s,113,1413.119,795.412,1413.119,795.412,15.353,9.371,7.541,0.794,69,1.638,0.61,0.886
592,Step2 test1 3.2x0.63x-1.avi:2.76 s,117,1132.235,893.97,1132.235,893.97,15.786,9.437,158.736,0.856,69,1.673,0.598,0.903
593,Step2 test1 3.2x0.63x-1.avi:2.76 s,128,1668.93,1165.188,1668.93,1165.188,15.776,10.331,145.922,0.885,69,1.527,0.655,0.921
594,Step2 test1 3.2x0.63x-1.avi:2.76 s,136,1466.191,1479.735,1466.191,1479.735,15.707,11.024,35.72,0.895,69,1.425,0.702,0.904
595,Step2 test1 3.2x0.63x-1.avi:2.76 s,189,659.108,1554.056,659.108,1554.056,18.361,13.106,46.365,0.889,69,1.401,0.714,0.926
596,Step2 test1 3.2x0.63x-1.avi:2.76 s,183,768.325,1685.358,768.325,1685.358,18.013,12.935,86.659,0.88,69,1.393,0.718,0.92
597,Step2 test1 3.2x0.63x-1.avi:2.76 s,234,438.842,1826.756,438.842,1826.756,22.398,13.302,55.235,0.835,69,1.684,0.594,0.921
598,Step2 test1 3.2x0.63x-1.avi:2.76 s,133,1165.004,1857.816,1165.004,1857.816,16.114,10.509,119.125,0.875,69,1.533,0.652,0.908
599,Step2 test1 3.2x0.63x-1.avi:2.80 s,153,1166.729,780.167,1166.729,780.167,14.248,13.673,148.995,0.921,70,1.042,0.96,0.911
600,Step2 test1 3.2x0.63x-1.avi:2.80 s,121,1412.467,794.335,1412.467,794.335,15.37,10.023,31.017,0.827,70,1.533,0.652,0.896
601,Step2 test1 3.2x0.63x-1.avi:2.80 s,116,1136.983,895.026,1136.983,895.026,15.539,9.505,161.389,0.883,70,1.635,0.612,0.921
602,Step2 test1 3.2x0.63x-1.avi:2.80 s,125,1664.684,1161.9,1664.684,1161.9,15.939,9.985,142.06,0.855,70,1.596,0.626,0.89
603,Step2 test1 3.2x0.63x-1.avi:2.80 s,126,1463.421,1482.881,1463.421,1482.881,14.796,10.843,38.518,0.921,70,1.365,0.733,0.916
604,Step2 test1 3.2x0.63x-1.avi:2.80 s,181,654.616,1559.246,654.616,1559.246,18.346,12.561,48.858,0.824,70,1.461,0.685,0.907
605,Step2 test1 3.2x0.63x-1.avi:2.80 s,192,766.609,1691.63,766.609,1691.63,19.329,12.648,74.768,0.855,70,1.528,0.654,0.923
606,Step2 test1 3.2x0.63x-1.avi:2.80 s,230,435.178,1832.27,435.178,1832.27,21.685,13.505,53.822,0.82,70,1.606,0.623,0.915
607,Step2 test1 3.2x0.63x-1.avi:2.80 s,138,1166.92,1863.391,1166.92,1863.391,15.796,11.123,115.378,0.898,70,1.42,0.704,0.908
608,Step2 test1 3.2x0.63x-1.avi:2.84 s,161,1165.382,779.562,1165.382,779.562,15.448,13.269,160.287,0.944,71,1.164,0.859,0.928
609,Step2 test1 3.2x0.63x-1.avi:2.84 s,122,1412.738,793.434,1412.738,793.434,15.646,9.928,55.044,0.834,71,1.576,0.635,0.9
610,Step2 test1 3.2x0.63x-1.avi:2.84 s,123,1141.337,895.549,1141.337,895.549,15.44,10.143,165.984,0.864,71,1.522,0.657,0.908
611,Step2 test1 3.2x0.63x-1.avi:2.84 s,128,1660.344,1158.438,1660.344,1158.438,16.441,9.913,134.987,0.842,71,1.659,0.603,0.901
612,Step2 test1 3.2x0.63x-1.avi:2.84 s,122,1460.418,1486.459,1460.418,1486.459,14.716,10.555,43.752,0.782,71,1.394,0.717,0.865
613,Step2 test1 3.2x0.63x-1.avi:2.84 s,179,650.249,1563.925,650.249,1563.925,18.125,12.575,43.741,0.628,71,1.441,0.694,0.877
614,Step2 test1 3.2x0.63x-1.avi:2.84 s,192,764.177,1697.625,764.177,1697.625,19.175,12.749,66.452,0.829,71,1.504,0.665,0.906
615,Step2 test1 3.2x0.63x-1.avi:2.84 s,231,431.703,1837.751,431.703,1837.751,21.821,13.479,57.114,0.801,71,1.619,0.618,0.917
616,Step2 test1 3.2x0.63x-1.avi:2.84 s,139,1168.745,1868.335,1168.745,1868.335,15.068,11.745,114.805,0.858,71,1.283,0.779,0.891
617,Step2 test1 3.2x0.63x-1.avi:2.88 s,183,1162.751,778.642,1162.751,778.642,18.346,12.701,171.067,0.931,72,1.444,0.692,0.938
618,Step2 test1 3.2x0.63x-1.avi:2.88 s,129,1413.12,792.562,1413.12,792.562,16.161,10.163,68.013,0.805,72,1.59,0.629,0.896
619,Step2 test1 3.2x0.63x-1.avi:2.88 s,111,1146.149,895.284,1146.149,895.284,14.634,9.658,167.261,0.896,72,1.515,0.66,0.914
620,Step2 test1 3.2x0.63x-1.avi:2.88 s,128,1655.922,1154.836,1655.922,1154.836,16.97,9.604,134.726,0.79,72,1.767,0.566,0.874
621,Step2 test1 3.2x0.63x-1.avi:2.88 s,118,1457.703,1490.695,1457.703,1490.695,14.751,10.185,62.787,0.621,72,1.448,0.69,0.811
622,Step2 test1 3.2x0.63x-1.avi:2.88 s,182,646.104,1568.791,646.104,1568.791,17.567,13.191,36.715,0.829,72,1.332,0.751,0.877
623,Step2 test1 3.2x0.63x-1.avi:2.88 s,201,761.624,1703.037,761.624,1703.037,19.65,13.024,64.562,0.824,72,1.509,0.663,0.907
624,Step2 test1 3.2x0.63x-1.avi:2.88 s,234,428.415,1842.547,428.415,1842.547,22.266,13.381,54.45,0.818,72,1.664,0.601,0.923
625,Step2 test1 3.2x0.63x-1.avi:2.88 s,126,1170.667,1873.563,1170.667,1873.563,15.374,10.435,113.899,0.862,72,1.473,0.679,0.91
626,Step2 test1 3.2x0.63x-1.avi:2.92 s,182,1156.896,778.038,1156.896,778.038,19.843,11.678,169.143,0.864,73,1.699,0.589,0.933
627,Step2 test1 3.2x0.63x-1.avi:2.92 s,125,1413.524,790.756,1413.524,790.756,15.804,10.071,81.561,0.855,73,1.569,0.637,0.926
628,Step2 test1 3.2x0.63x-1.avi:2.92 s,116,1151.138,895.181,1151.138,895.181,15.163,9.741,171.951,0.909,73,1.557,0.642,0.921
629,Step2 test1 3.2x0.63x-1.avi:2.92 s,131,1651.943,1151.531,1651.943,1151.531,16.967,9.831,135.297,0.83,73,1.726,0.579,0.888
630,Step2 test1 3.2x0.63x-1.avi:2.92 s,123,1455.711,1495.337,1455.711,1495.337,14.158,11.061,60.502,0.714,73,1.28,0.781,0.837
631,Step2 test1 3.2x0.63x-1.avi:2.92 s,179,641.947,1573.567,641.947,1573.567,17.798,12.805,43.958,0.834,73,1.39,0.719,0.916
632,Step2 test1 3.2x0.63x-1.avi:2.92 s,199,758.786,1708.239,758.786,1708.239,19.108,13.26,61.047,0.826,73,1.441,0.694,0.9
633,Step2 test1 3.2x0.63x-1.avi:2.92 s,223,424.558,1847.455,424.558,1847.455,21.947,12.937,49.883,0.828,73,1.696,0.589,0.912
634,Step2 test1 3.2x0.63x-1.avi:2.92 s,124,1173.395,1878.685,1173.395,1878.685,15.484,10.197,115.578,0.838,73,1.518,0.659,0.879
635,Step2 test1 3.2x0.63x-1.avi:2.96 s,173,1150.142,777.517,1150.142,777.517,19.645,11.212,171.376,0.806,74,1.752,0.571,0.911
636,Step2 test1 3.2x0.63x-1.avi:2.96 s,125,1412.804,790.436,1412.804,790.436,15.922,9.996,95.523,0.81,74,1.593,0.628,0.896
637,Step2 test1 3.2x0.63x-1.avi:2.96 s,123,1156.093,894.801,1156.093,894.801,15.245,10.273,0.288,0.936,74,1.484,0.674,0.943
638,Step2 test1 3.2x0.63x-1.avi:2.96 s,129,1647.167,1147.516,1647.167,1147.516,15.822,10.381,135.411,0.907,74,1.524,0.656,0.915
639,Step2 test1 3.2x0.63x-1.avi:2.96 s,121,1453.211,1499.541,1453.211,1499.541,14.707,10.475,69.356,0.91,74,1.404,0.712,0.913
640,Step2 test1 3.2x0.63x-1.avi:2.96 s,184,638.375,1578.457,638.375,1578.457,18.445,12.701,41.104,0.83,74,1.452,0.689,0.9
641,Step2 test1 3.2x0.63x-1.avi:2.96 s,194,755.675,1713.469,755.675,1713.469,19.525,12.651,62.871,0.884,74,1.543,0.648,0.924
642,Step2 test1 3.2x0.63x-1.avi:2.96 s,228,420.404,1852.14,420.404,1852.14,22.108,13.131,44.916,0.813,74,1.684,0.594,0.923
643,Step2 test1 3.2x0.63x-1.avi:2.96 s,123,1176.232,1883.077,1176.232,1883.077,15.686,9.984,121.364,0.855,74,1.571,0.636,0.908
644,Step2 test1 3.2x0.63x-1.avi:3.00 s,174,1143.638,777.149,1143.638,777.149,19.597,11.305,169.777,0.818,75,1.733,0.577,0.918
645,Step2 test1 3.2x0.63x-1.avi:3.00 s,126,1412.492,790.405,1412.492,790.405,16.032,10.007,113.727,0.852,75,1.602,0.624,0.906
646,Step2 test1 3.2x0.63x-1.avi:3.00 s,121,1161.211,894.045,1161.211,894.045,14.749,10.446,5.846,0.91,75,1.412,0.708,0.91
647,Step2 test1 3.2x0.63x-1.avi:3.00 s,127,1642.783,1143.61,1642.783,1143.61,15.943,10.143,135.456,0.893,75,1.572,0.636,0.907
648,Step2 test1 3.2x0.63x-1.avi:3.00 s,131,1451.401,1504.248,1451.401,1504.248,15.109,11.039,69.024,0.896,75,1.369,0.731,0.913
649,Step2 test1 3.2x0.63x-1.avi:3.00 s,189,634.833,1583.563,634.833,1583.563,18.417,13.067,47.071,0.921,75,1.409,0.71,0.922
650,Step2 test1 3.2x0.63x-1.avi:3.00 s,198,752.53,1718.864,752.53,1718.864,19.792,12.738,61.617,0.829,75,1.554,0.644,0.915
651,Step2 test1 3.2x0.63x-1.avi:3.00 s,227,416.077,1857.289,416.077,1857.289,22.471,12.862,44.179,0.826,75,1.747,0.572,0.927
652,Step2 test1 3.2x0.63x-1.avi:3.00 s,121,1179.649,1887.483,1179.649,1887.483,14.93,10.319,120.333,0.85,75,1.447,0.691,0.886
653,Step2 test1 3.2x0.63x-1.avi:3.04 s,174,1136.822,777.057,1136.822,777.057,19.35,11.449,174.256,0.845,76,1.69,0.592,0.921
654,Step2 test1 3.2x0.63x-1.avi:3.04 s,123,1412.451,788.947,1412.451,788.947,16.206,9.664,114.52,0.818,76,1.677,0.596,0.901
655,Step2 test1 3.2x0.63x-1.avi:3.04 s,115,1165.543,893.317,1165.543,893.317,14.535,10.073,6.67,0.865,76,1.443,0.693,0.885
656,Step2 test1 3.2x0.63x-1.avi:3.04 s,130,1638.062,1139.846,1638.062,1139.846,16.487,10.039,138.268,0.803,76,1.642,0.609,0.89
657,Step2 test1 3.2x0.63x-1.avi:3.04 s,134,1448.925,1508.955,1448.925,1508.955,15.223,11.208,66.705,0.942,76,1.358,0.736,0.931
658,Step2 test1 3.2x0.63x-1.avi:3.04 s,179,630.818,1588.897,630.818,1588.897,18.088,12.6,50.574,0.861,76,1.436,0.697,0.916
659,Step2 test1 3.2x0.63x-1.avi:3.04 s,198,749.47,1724.162,749.47,1724.162,19.314,13.053,58.267,0.882,76,1.48,0.676,0.923
660,Step2 test1 3.2x0.63x-1.avi:3.04 s,218,411.468,1862.404,411.468,1862.404,22.17,12.52,43.624,0.793,76,1.771,0.565,0.912
661,Step2 test1 3.2x0.63x-1.avi:3.04 s,122,1183.451,1891.582,1183.451,1891.582,15.487,10.03,123.354,0.867,76,1.544,0.648,0.914
662,Step2 test1 3.2x0.63x-1.avi:3.08 s,172,1130.372,777.349,1130.372,777.349,18.955,11.554,175.837,0.776,77,1.641,0.61,0.884
663,Step2 test1 3.2x0.63x-1.avi:3.08 s,126,1412.103,788.087,1412.103,788.087,16.253,9.871,112.022,0.838,77,1.647,0.607,0.91
664,Step2 test1 3.2x0.63x-1.avi:3.08 s,121,1170.31,892.748,1170.31,892.748,15.33,10.05,10.092,0.86,77,1.525,0.656,0.927
665,Step2 test1 3.2x0.63x-1.avi:3.08 s,124,1633.032,1135.702,1633.032,1135.702,16.398,9.628,142.505,0.848,77,1.703,0.587,0.905
666,Step2 test1 3.2x0.63x-1.avi:3.08 s,137,1446.631,1513.522,1446.631,1513.522,15.66,11.139,74.218,0.902,77,1.406,0.711,0.91
667,Step2 test1 3.2x0.63x-1.avi:3.08 s,188,627.314,1594.287,627.314,1594.287,18.586,12.879,49.088,0.904,77,1.443,0.693,0.935
668,Step2 test1 3.2x0.63x-1.avi:3.08 s,130,801,1704.692,801,1704.692,15.217,10.878,28.242,0.711,77,1.399,0.715,0.858
669,Step2 test1 3.2x0.63x-1.avi:3.08 s,196,746.087,1729.577,746.087,1729.577,19.274,12.948,56.545,0.828,77,1.489,0.672,0.907
670,Step2 test1 3.2x0.63x-1.avi:3.08 s,209,406.395,1867.586,406.395,1867.586,21.371,12.452,41.131,0.822,77,1.716,0.583,0.929
671,Step2 test1 3.2x0.63x-1.avi:3.08 s,121,1187.326,1895.64,1187.326,1895.64,15.533,9.919,125.767,0.874,77,1.566,0.639,0.893
672,Step2 test1 3.2x0.63x-1.avi:3.12 s,186,1123.715,777.672,1123.715,777.672,19.251,12.302,175.881,0.763,78,1.565,0.639,0.903
673,Step2 test1 3.2x0.63x-1.avi:3.12 s,129,1411.306,786.05,1411.306,786.05,16.087,10.21,109.69,0.836,78,1.576,0.635,0.899
674,Step2 test1 3.2x0.63x-1.avi:3.12 s,118,1174.534,892.593,1174.534,892.593,15.159,9.911,5.528,0.873,78,1.53,0.654,0.925
675,Step2 test1 3.2x0.63x-1.avi:3.12 s,124,1628.202,1131.645,1628.202,1131.645,16.501,9.568,143.249,0.795,78,1.725,0.58,0.892
676,Step2 test1 3.2x0.63x-1.avi:3.12 s,132,1444.212,1517.909,1444.212,1517.909,15.423,10.897,74.104,0.903,78,1.415,0.707,0.917
677,Step2 test1 3.2x0.63x-1.avi:3.12 s,179,623.003,1599.673,623.003,1599.673,18.058,12.621,48.105,0.89,78,1.431,0.699,0.935
678,Step2 test1 3.2x0.63x-1.avi:3.12 s,169,802.896,1702.47,802.896,1702.47,15.629,13.768,43.684,0.832,78,1.135,0.881,0.906
679,Step2 test1 3.2x0.63x-1.avi:3.12 s,191,742.992,1735.118,742.992,1735.118,19.057,12.761,59.354,0.843,78,1.493,0.67,0.916
680,Step2 test1 3.2x0.63x-1.avi:3.12 s,226,402.049,1872.394,402.049,1872.394,22.451,12.817,43.982,0.8,78,1.752,0.571,0.921
681,Step2 test1 3.2x0.63x-1.avi:3.12 s,121,1191.343,1899.764,1191.343,1899.764,15.61,9.87,127.362,0.818,78,1.582,0.632,0.896
682,Step2 test1 3.2x0.63x-1.avi:3.16 s,190,1117.142,778.116,1117.142,778.116,19.734,12.259,2.796,0.828,79,1.61,0.621,0.913
683,Step2 test1 3.2x0.63x-1.avi:3.16 s,124,1409.944,781.476,1409.944,781.476,16.685,9.462,109.761,0.825,79,1.763,0.567,0.915
684,Step2 test1 3.2x0.63x-1.avi:3.16 s,117,1179.064,892.585,1179.064,892.585,14.923,9.982,12.933,0.891,79,1.495,0.669,0.929
685,Step2 test1 3.2x0.63x-1.avi:3.16 s,125,1623.668,1127.74,1623.668,1127.74,16.936,9.398,145.434,0.823,79,1.802,0.555,0.899
686,Step2 test1 3.2x0.63x-1.avi:3.16 s,136,1441.699,1522.132,1441.699,1522.132,15.628,11.08,65.125,0.93,79,1.41,0.709,0.928
687,Step2 test1 3.2x0.63x-1.avi:3.16 s,191,619.029,1604.924,619.029,1604.924,18.412,13.208,47.242,0.87,79,1.394,0.717,0.918
688,Step2 test1 3.2x0.63x-1.avi:3.16 s,197,804.576,1700.094,804.576,1700.094,17.659,14.204,70.171,0.889,79,1.243,0.804,0.916
689,Step2 test1 3.2x0.63x-1.avi:3.16 s,194,740.526,1740.727,740.526,1740.727,19.032,12.979,56.811,0.864,79,1.466,0.682,0.919
690,Step2 test1 3.2x0.63x-1.avi:3.16 s,220,397.718,1877.032,397.718,1877.032,22.145,12.649,47.736,0.817,79,1.751,0.571,0.919
691,Step2 test1 3.2x0.63x-1.avi:3.16 s,125,1195.436,1903.644,1195.436,1903.644,15.304,10.399,131.662,0.879,79,1.472,0.68,0.916
692,Step2 test1 3.2x0.63x-1.avi:3.20 s,127,1409.287,778.76,1409.287,778.76,16.408,9.855,117.241,0.793,80,1.665,0.601,0.888
693,Step2 test1 3.2x0.63x-1.avi:3.20 s,180,1110.461,778.333,1110.461,778.333,19.597,11.695,6.098,0.846,80,1.676,0.597,0.921
694,Step2 test1 3.2x0.63x-1.avi:3.20 s,119,1183.517,892.853,1183.517,892.853,14.93,10.148,5.843,0.895,80,1.471,0.68,0.926
695,Step2 test1 3.2x0.63x-1.avi:3.20 s,126,1620.222,1124.214,1620.222,1124.214,16.635,9.644,141.159,0.886,80,1.725,0.58,0.913
696,Step2 test1 3.2x0.63x-1.avi:3.20 s,134,1438.313,1526.254,1438.313,1526.254,15.716,10.856,66.543,0.868,80,1.448,0.691,0.915
697,Step2 test1 3.2x0.63x-1.avi:3.20 s,179,614.696,1609.757,614.696,1609.757,18.163,12.548,49.625,0.853,80,1.448,0.691,0.911
698,Step2 test1 3.2x0.63x-1.avi:3.20 s,217,807.021,1696.532,807.021,1696.532,19.071,14.488,65.784,0.846,80,1.316,0.76,0.906
699,Step2 test1 3.2x0.63x-1.avi:3.20 s,185,738.851,1745.738,738.851,1745.738,18.662,12.622,67.723,0.824,80,1.479,0.676,0.914
700,Step2 test1 3.2x0.63x-1.avi:3.20 s,225,393.998,1881.789,393.998,1881.789,22.405,12.786,50.039,0.796,80,1.752,0.571,0.902
701,Step2 test1 3.2x0.63x-1.avi:3.20 s,126,1199.183,1907.952,1199.183,1907.952,15.829,10.135,126.456,0.778,80,1.562,0.64,0.894
702,Step2 test1 3.2x0.63x-1.avi:3.24 s,130,1408.246,776.7,1408.246,776.7,16.468,10.051,123.412,0.856,81,1.638,0.61,0.9
703,Step2 test1 3.2x0.63x-1.avi:3.24 s,182,1104.176,778.775,1104.176,778.775,19.267,12.027,2.962,0.762,81,1.602,0.624,0.897
704,Step2 test1 3.2x0.63x-1.avi:3.24 s,125,1188.196,892.916,1188.196,892.916,15.76,10.099,1.492,0.855,81,1.561,0.641,0.906
705,Step2 test1 3.2x0.63x-1.avi:3.24 s,124,1617.919,1120.484,1617.919,1120.484,16.572,9.527,135.004,0.816,81,1.739,0.575,0.895
706,Step2 test1 3.2x0.63x-1.avi:3.24 s,103,300.024,1382.102,300.024,1382.102,19.394,6.762,103.796,0.181,81,2.868,0.349,0.346
707,Step2 test1 3.2x0.63x-1.avi:3.24 s,138,1435.333,1530.319,1435.333,1530.319,15.734,11.167,59.997,0.839,81,1.409,0.71,0.896
708,Step2 test1 3.2x0.63x-1.avi:3.24 s,185,610.581,1614.959,610.581,1614.959,18.234,12.918,48.327,0.89,81,1.411,0.708,0.92
709,Step2 test1 3.2x0.63x-1.avi:3.24 s,215,808.402,1692.816,808.402,1692.816,20.146,13.588,70.748,0.846,81,1.483,0.675,0.913
710,Step2 test1 3.2x0.63x-1.avi:3.24 s,189,738.611,1749.929,738.611,1749.929,18.632,12.915,83.052,0.869,81,1.443,0.693,0.926
711,Step2 test1 3.2x0.63x-1.avi:3.24 s,206,389.845,1885.874,389.845,1885.874,21.497,12.201,51.586,0.827,81,1.762,0.568,0.918
712,Step2 test1 3.2x0.63x-1.avi:3.24 s,122,1202.664,1911.992,1202.664,1911.992,15.334,10.13,130.359,0.882,81,1.514,0.661,0.907
713,Step2 test1 3.2x0.63x-1.avi:3.28 s,122,1407.238,775.533,1407.238,775.533,15.641,9.932,126.794,0.848,82,1.575,0.635,0.891
714,Step2 test1 3.2x0.63x-1.avi:3.28 s,181,1097.506,778.959,1097.506,778.959,19.303,11.939,1.142,0.851,82,1.617,0.619,0.921
715,Step2 test1 3.2x0.63x-1.avi:3.28 s,120,1192.8,893.433,1192.8,893.433,15.425,9.905,0.461,0.781,82,1.557,0.642,0.879
716,Step2 test1 3.2x0.63x-1.avi:3.28 s,129,1616.981,1117.826,1616.981,1117.826,16.892,9.724,123.719,0.858,82,1.737,0.576,0.912
717,Step2 test1 3.2x0.63x-1.avi:3.28 s,103,299.539,1381.762,299.539,1381.762,18.877,6.947,98.946,0.199,82,2.717,0.368,0.374
718,Step2 test1 3.2x0.63x-1.avi:3.28 s,129,1432.012,1533.523,1432.012,1533.523,15.305,10.732,48.915,0.892,82,1.426,0.701,0.918
719,Step2 test1 3.2x0.63x-1.avi:3.28 s,190,605.826,1619.816,605.826,1619.816,18.998,12.734,44.775,0.885,82,1.492,0.67,0.934
720,Step2 test1 3.2x0.63x-1.avi:3.28 s,223,809.244,1688.971,809.244,1688.971,20.865,13.608,73.934,0.866,82,1.533,0.652,0.943
721,Step2 test1 3.2x0.63x-1.avi:3.28 s,188,738.734,1752.367,738.734,1752.367,17.384,13.769,89.737,0.925,82,1.263,0.792,0.926
722,Step2 test1 3.2x0.63x-1.avi:3.28 s,214,386.402,1889.551,386.402,1889.551,21.365,12.753,50.337,0.817,82,1.675,0.597,0.916
723,Step2 test1 3.2x0.63x-1.avi:3.28 s,134,1205.963,1916.612,1205.963,1916.612,15.838,10.773,126.699,0.827,82,1.47,0.68,0.876
724,Step2 test1 3.2x0.63x-1.avi:3.32 s,124,1406.395,774.685,1406.395,774.685,16.324,9.672,136.491,0.825,83,1.688,0.593,0.912
725,Step2 test1 3.2x0.63x-1.avi:3.32 s,188,1090.936,778.926,1090.936,778.926,19.762,12.113,178.294,0.837,83,1.632,0.613,0.926
726,Step2 test1 3.2x0.63x-1.avi:3.32 s,122,1196.951,894.033,1196.951,894.033,15.252,10.185,175.731,0.892,83,1.498,0.668,0.914
727,Step2 test1 3.2x0.63x-1.avi:3.32 s,130,1617.069,1116.546,1617.069,1116.546,16.187,10.225,115.38,0.856,83,1.583,0.632,0.903
728,Step2 test1 3.2x0.63x-1.avi:3.32 s,110,299.873,1382.373,299.873,1382.373,19.781,7.08,102.653,0.199,83,2.794,0.358,0.364
729,Step2 test1 3.2x0.63x-1.avi:3.32 s,135,1428.707,1536.796,1428.707,1536.796,15.435,11.136,47.765,0.898,83,1.386,0.722,0.922
730,Step2 test1 3.2x0.63x-1.avi:3.32 s,186,601.323,1624.828,601.323,1624.828,18.463,12.827,46.6,0.839,83,1.439,0.695,0.905
731,Step2 test1 3.2x0.63x-1.avi:3.32 s,246,809.622,1684.557,809.622,1684.557,23.613,13.265,70.089,0.554,83,1.78,0.562,0.82
732,Step2 test1 3.2x0.63x-1.avi:3.32 s,168,738.762,1753.613,738.762,1753.613,15.778,13.557,98.164,0.919,83,1.164,0.859,0.923
733,Step2 test1 3.2x0.63x-1.avi:3.32 s,200,382.62,1893.01,382.62,1893.01,20.531,12.403,48.336,0.82,83,1.655,0.604,0.905
734,Step2 test1 3.2x0.63x-1.avi:3.32 s,142,1208.662,1920.951,1208.662,1920.951,16.844,10.734,133.649,0.842,83,1.569,0.637,0.916
735,Step2 test1 3.2x0.63x-1.avi:3.36 s,130,1404.031,772.462,1404.031,772.462,16.641,9.947,142.637,0.846,84,1.673,0.598,0.897
736,Step2 test1 3.2x0.63x-1.avi:3.36 s,185,1085.041,778.543,1085.041,778.543,19.292,12.21,178.496,0.824,84,1.58,0.633,0.914
